Kanji;Strokes;"On within Joyo";"Kun within Joyo"
亜;7;a;-
哀;9;ai;"awa(re), awa(remu)"
挨;10;ai;-
愛;13;ai;-
曖;17;ai;-
悪;11;"aku, 	o";waru(i)
握;12;aku;nigi(ru)
圧;5;atsu;-
扱;6;-;atsuka(u)
宛;8;-;a(teru)
嵐;12;-;arashi
安;6;an;yasu(i)
案;10;an;-
暗;13;an;kura(i)
以;5;i;-
衣;6;i;koromo
位;7;i;kurai
囲;7;i;"kako(mu), kako(u)"
医;7;i;-
依;8;"i, [e	]";-
委;8;i;yuda(neru)
威;9;i;-
為;9;i;-
畏;9;i;oso(reru)
胃;9;i;-
尉;11;i;-
異;11;i;koto(naru)
移;11;i;"utsu(ru), utsu(su)"
萎;11;i;na(eru)
偉;12;i;era(i)
椅;12;i;-
彙;13;i;-
意;13;i;-
違;13;i;"chiga(u), chiga(eru)"
維;14;i;-
慰;15;i;"nagusa(meru), nagusa(mu)"
遺;15;"i, [yui]";-
緯;16;i;-
域;11;iki;-
育;8;iku;"soda(tsu), soda(teru), haguku(mu)"
一;1;"ichi, 	itsu";"hito, hito(tsu)"
壱;7;ichi;-
逸;11;itsu;-
茨;9;-;[ibara]
芋;6;-;imo
引;4;in;"hi(ku), hi(keru)"
印;6;in;shirushi
因;6;in;yo(ru)
咽;9;in;-
姻;9;in;-
員;10;in;-
院;10;in;-
淫;11;in;mida(ra)
陰;11;in;"kage, kage(ru)"
飲;12;in;no(mu)
隠;14;in;"kaku(su), kaku(reru)"
韻;19;in;-
右;5;"u, 	yuu";migi
宇;6;u;-
羽;6;u;"ha, hane"
雨;8;u;"ame, [ama]"
唄;10;-;[uta]
鬱;29;utsu;-
畝;10;-;une
浦;10;-;ura
運;12;un;hako(bu)
雲;12;un;kumo
永;5;ei;naga(i)
泳;8;ei;oyo(gu)
英;8;ei;-
映;9;ei;"utsu(ru), utsu(su), ha(eru)"
栄;9;ei;"saka(eru), ha(e), ha(eru)"
営;12;ei;itona(mu)
詠;12;ei;yo(mu)
影;15;ei;kage
鋭;15;ei;surudo(i)
衛;16;ei;-
易;8;"i, 	eki";yasa(shii)
疫;9;"eki, [yaku]";-
益;10;"eki, [yaku]";-
液;11;eki;-
駅;14;eki;-
悦;10;etsu;-
越;12;etsu;"ko(su), ko(eru)"
謁;15;etsu;-
閲;15;etsu;-
円;4;en;maru(i)
延;8;en;"no(biru), no(beru), no(basu)"
沿;8;en;so(u)
炎;8;en;honoo
怨;9;"en, on";-
宴;10;en;-
媛;12;en;-
援;12;en;-
園;13;en;sono
煙;13;en;"kemu(ru), kemuri, kemu(i)"
猿;13;en;saru
遠;13;"en, [on]";too(i)
鉛;13;en;namari
塩;13;en;shio
演;14;en;-
縁;15;en;fuchi
艶;19;en;tsuya
汚;6;o;"kega(su), kega(reru), kega(rawashii), yogo(su), yogo(reru), kitana(i)"
王;4;oo;-
凹;5;oo;-
央;5;oo;-
応;7;oo;kota(eru)
往;8;oo;-
押;8;oo;"o(su), o(saeru)"
旺;8;oo;-
欧;8;oo;-
殴;8;oo;nagu(ru)
桜;10;oo;sakura
翁;10;oo;-
奥;12;oo;oku
横;15;oo;yoko
岡;8;-;[oka]
屋;9;oku;ya
億;15;oku;-
憶;16;oku;-
臆;17;oku;-
虞;13;-;osore
乙;1;otsu;-
俺;10;-;ore
卸;9;-;"oro(su), oroshi"
音;9;"on, 	in";"oto, ne"
恩;10;on;-
温;12;on;"atata(ka), atata(kai), atata(maru), atata(meru)"
穏;16;on;oda(yaka)
下;3;"ka, 	ge";"shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru)"
化;4;"ka, 	ke";"ba(keru), ba(kasu)"
火;4;ka;"hi, [ho]"
加;5;ka;"kuwa(eru), kuwa(waru)"
可;5;ka;-
仮;6;"ka, [ke]";kari
何;7;ka;"nani, [nan]"
花;7;ka;hana
佳;8;ka;-
価;8;ka;atai
果;8;ka;"ha(tasu), ha(teru), ha(te)"
河;8;ka;kawa
苛;8;ka;-
科;9;ka;-
架;9;ka;"ka(keru), ka(karu)"
夏;10;"ka, [ge]";natsu
家;10;"ka, 	ke";"ie, ya"
荷;10;ka;ni
華;10;"ka, [ke]";hana
菓;11;ka;-
貨;11;ka;-
渦;12;ka;uzu
過;12;ka;"su(giru), su(gosu), ayama(tsu), ayama(chi)"
嫁;13;ka;"yome, totsu(gu)"
暇;13;ka;hima
禍;13;ka;-
靴;13;ka;kutsu
寡;14;ka;-
歌;14;ka;"uta, uta(u)"
箇;14;ka;-
稼;15;ka;kase(gu)
課;15;ka;-
蚊;10;-;ka
牙;4;"ga, [ge]";kiba
瓦;5;ga;kawara
我;7;ga;"ware, wa"
画;8;"ga, 	kaku";-
芽;8;ga;me
賀;12;ga;-
雅;13;ga;-
餓;15;ga;-
介;4;kai;-
回;6;"kai, [e]";"mawa(ru), mawa(su)"
灰;6;kai;hai
会;6;"kai, 	e";a(u)
快;7;kai;kokoroyo(i)
戒;7;kai;imashi(meru)
改;7;kai;"arata(meru), arata(maru)"
怪;8;kai;"aya(shii), aya(shimu)"
拐;8;kai;-
悔;9;kai;"ku(iru), ku(yamu), kuya(shii)"
海;9;kai;umi
界;9;kai;-
皆;9;kai;mina
械;11;kai;-
絵;12;"kai, 	e";-
開;12;kai;"hira(ku), hira(keru), a(ku), a(keru)"
階;12;kai;-
塊;13;kai;katamari
楷;13;kai;-
解;13;"kai, 	ge";"to(ku), to(kasu), to(keru)"
潰;15;kai;"tsubu(su), tsubu(reru)"
壊;16;kai;"kowa(su), kowa(reru)"
懐;16;kai;"futokoro, natsu(kashii), natsu(kashimu), natsu(ku), natsu(keru)"
諧;16;kai;-
貝;7;-;kai
外;5;"gai, 	ge";"soto, hoka, ha(zusu), hazu(reru)"
劾;8;gai;-
害;10;gai;-
崖;11;gai;gake
涯;11;gai;-
街;12;"gai, [kai]";machi
慨;13;gai;-
蓋;13;gai;futa
該;13;gai;-
概;14;gai;-
骸;16;gai;-
